공정단계,공정명,배치번호,웨이퍼위치,검사순번,결함유형,불량여부,가로길이,세로길이,검출면적,직경크기,신호강도,신호극성,에너지값,기준편차,명도수준,잡음정도,중심거리,방향각도,정렬정도,점형지수,영역잡음,상대강도,활성지수,패치신호,wafer_x,wafer_y
KB425000,CBCMP,A1VWN.1,15,5,21,REAL,0.646,0.397,0.0122,0.646,368,1,2113,318,1104,125,137913,183,0.955,5.0097,71.9212,361,1.0,204,-137723.99502660753,-7217.808733333076
KB425000,CBCMP,A1VWN.1,15,11,21,REAL,0.049,0.099,0.0012,0.099,296,1,821,182,1869,175,75973,316,0.9425,7.242,37.6488,273,1.0,136,54650.40265112832,-52775.28037888143
KB425000,CBCMP,A1VWN.1,15,13,21,REAL,0.099,0.099,0.0004,0.099,77,1,438,30,1030,93,136490,210,1.0,7.2771,10.3964,76,1.0,44,-118203.80736253802,-68245.00000000001
KB425000,CBCMP,A1VWN.1,15,14,99,REAL,0.049,0.149,0.0049,0.149,623,1,1358,268,2204,193,145137,327,0.6056,3.4331,128.9836,443,0.7852,38,121722.13021989501,-79047.27562497597
KB425000,CBCMP,A1VWN.1,15,22,21,REAL,0.049,0.099,0.0016,0.099,318,1,679,198,1777,176,50194,2,0.9905,8.5438,34.9367,299,1.0,174,50163.42317139649,1751.7453374853337
KB425000,CBCMP,A1VWN.1,15,26,99,REAL,0.149,0.198,0.0056,0.198,448,1,1639,258,2290,284,145299,8,0.8179,2.3125,135.972,317,0.9375,-30,143884.96012008144,20221.71239639655
KB425000,CBCMP,A1VWN.1,15,29,99,REAL,0.099,0.049,0.0007,0.099,192,1,892,123,784,139,64375,19,0.9997,8.8979,21.1791,189,1.0,59,60867.75830420602,20958.44994317946
KB425000,CBCMP,A1VWN.1,15,36,99,REAL,0.149,0.596,0.0185,0.596,604,1,2482,273,1803,244,145177,9,0.6496,3.0581,154.2402,472,0.6563,102,143389.6302225803,22710.686331145596
KB425000,CBCMP,A1VWN.1,15,73,99,REAL,0.099,0.497,0.0143,0.497,728,1,1692,353,2196,364,146032,9,0.5413,4.2051,129.4286,545,0.7129,185,144234.10375378915,22844.437798754996
KB425000,CBCMP,A1VWN.1,15,75,99,REAL,0.049,0.099,0.0007,0.099,198,-1,435,127,773,141,48370,68,1.0,9.9833,19.7188,197,0.043,107,18119.72092352766,44847.88304539551
KB425000,CBCMP,A1VWN.1,15,83,39,REAL,0.298,0.298,0.006,0.298,569,1,3111,467,896,128,106781,37,0.9516,9.4345,54.603,516,1.0,450,85279.09839835997,64262.409987198866
KB425000,CBCMP,A1VWN.1,15,88,21,REAL,0.695,0.497,0.0229,0.695,486,-1,3187,444,951,134,109434,50,1.0,4.3228,108.9968,472,1.0,428,70342.81927843674,83831.30758828224
KB425000,CBCMP,A1VWN.1,15,122,99,REAL,0.248,0.149,0.0013,0.248,143,-1,536,136,968,77,128208,105,1.0,5.4835,25.511,140,0.082,56,-33182.67213450399,123839.41833686887
KB425000,CBCMP,A1VWN.1,15,124,39,REAL,0.248,0.248,0.0059,0.248,407,1,1326,275,691,246,135723,96,1.0,6.4558,61.0622,395,0.8125,239,-14186.916620075743,134979.49520506815
KB425000,CBCMP,A1VWN.1,15,141,56,REAL,0.397,0.497,0.0152,0.497,446,-1,2752,291,806,218,77263,190,1.0,4.6342,82.3635,382,1.0,224,-76089.20142098222,-13416.579151080048
KB425000,CBCMP,A1VWN.1,15,144,21,REAL,0.099,0.049,0.0009,0.099,176,1,974,118,780,140,56486,319,1.0,8.4646,23.3351,197,1.0,108,42630.525348463496,-37058.1503115578
KB425000,CBCMP,A1VWN.1,15,145,56,REAL,0.248,0.298,0.0064,0.298,484,-1,2556,379,703,141,95068,326,0.9695,8.5803,51.3562,441,0.7803,326,78814.94394766272,-53161.350947156934
KB425000,CBCMP,A1VWN.1,15,146,21,REAL,0.149,0.099,0.0028,0.149,317,-1,1966,113,715,268,81293,315,1.0,3.4527,74.5387,258,1.0,30,57482.83156299799,-57482.83156299802
KB425000,CBCMP,A1VWN.1,15,147,21,REAL,0.049,0.099,0.002,0.099,319,-1,1815,102,736,263,81294,315,1.0,3.4653,69.7466,242,1.0,2,57483.538669779184,-57483.538669779206
KB425000,CBCMP,A1VWN.1,15,148,21,REAL,0.149,0.149,0.0016,0.149,229,-1,1394,148,751,132,105870,221,1.0,8.8028,26.5328,233,0.918,163,-79901.10325818488,-69456.96939922498
KB425000,CBCMP,A1VWN.1,15,151,56,REAL,0.298,0.497,0.0098,0.497,585,-1,3495,506,766,163,38039,351,1.0,8.0216,70.5598,567,0.8438,470,37570.67678789844,-5950.61061566535
KB425000,CBCMP,A1VWN.1,15,152,21,REAL,0.198,0.198,0.0028,0.198,353,-1,2164,266,839,149,1565,176,1.0,9.8293,34.8386,343,1.0,289,-1561.1877386566248,109.16888140955645
KB425000,CBCMP,A1VWN.1,15,153,21,REAL,0.248,0.198,0.0037,0.248,361,-1,1998,283,797,151,57249,22,1.0,9.3882,36.7488,346,1.0,291,53080.34849009402,21445.852866467547
KB425000,CBCMP,A1VWN.1,15,154,21,REAL,0.049,0.099,0.0009,0.099,169,-1,980,101,792,141,34331,44,1.0,8.2293,20.3831,168,1.0,77,24695.654685426234,23848.316516227835
KB425000,CBCMP,A1VWN.1,15,157,21,REAL,0.049,0.049,0.0008,0.049,186,-1,950,104,765,146,52190,120,1.0,8.0183,22.6287,182,1.0,58,-26094.99999999999,45197.865823509856
KB425000,CBCMP,A1VXY.JI,17,3,21,REAL,0.198,0.298,0.0047,0.298,323,1,1434,206,1032,136,101844,187,1.0,6.7825,43.1041,293,1.0,189,-101084.8702677588,-12411.661409753822
KB425000,CBCMP,A1VXY.JI,17,4,56,REAL,0.347,0.298,0.006,0.347,288,1,1604,243,1061,87,67494,347,1.0,10.0043,27.6665,277,1.0,247,65764.13315261465,-15182.846461884847
KB425000,CBCMP,A1VXY.JI,17,9,99,REAL,0.099,0.149,0.0017,0.149,272,-1,911,179,911,189,31600,251,1.0,6.3277,41.9002,266,1.0,64,-10287.95368084615,-29878.38698893841
KB425000,CBCMP,A1VXY.JI,17,10,21,REAL,0.099,0.099,0.0005,0.099,92,1,467,43,1041,94,135692,346,1.0,8.2775,10.7498,89,1.0,49,131661.3676898425,-32826.86585771013
KB425000,CBCMP,A1VXY.JI,17,16,56,REAL,0.248,0.149,0.006,0.248,403,-1,2472,124,1028,303,142591,211,1.0,3.6003,85.9224,310,1.0,47,-122224.3425744149,-73439.79413949953
KB425000,CBCMP,A1VXY.JI,17,17,21,REAL,2.336,2.137,3.5357,2.336,1530,-1,7854,1453,445,196,91680,261,1.0,2.4686,499.3105,1232,0.3984,333,-14341.91175488838,-90551.26706576222
